index,slang_word,correct_word
752,onsubrek,
753,tokekenya,
754,datanya,datang
755,dampaxnya,
756,brutality,
757,jmett,jemet
758,kakanya,kakanda
759,edaannn,
760,elap,edap
761,hatiku,haiku
762,amji,aaji
763,wadaaauuuhhhhh,
764,sasaeng,sabang
765,ngantuk,nganjuk
766,yohan,yohano
767,didier,deder
768,hahahhaaha,
769,sayangkuaymisu,
770,zyy,z
771,ngonten,ngontel
772,geburnir,
773,deu,de
774,vvya,vena
775,make,mace
776,aya,aa
777,abgnya,abaya
778,truuus,taurus
779,bikinnn,bikinan
780,usn,uan
781,boleh2,boleh
782,wily,wali
783,ki2,ki
784,atjeh,aceh
785,mudi,madi
786,sugudagah,
787,hahahahahahahahaha,
788,nyambung,nyambing
789,jealous,jeblos
790,makanyaaa,makanya
791,kancutnya,
792,sesedih,sedih
793,perkataannya,
794,nyeplos,
795,ngurusi,
796,ibadahku,ibadah
797,teamnya,tanya
798,kubilang,kutilang
799,bahayaaa,bahaya
800,nmbh,nabe
801,deny,den
802,sawer138,
803,raso,rago
804,diibadahi,
805,nuaaa,naam
806,dihidupi,
807,3nak,
808,onti,onta
809,nendang,nanang
810,tumbnail,tumbal
811,toronto,toloto
812,boneeek,bondek
813,taijutsu,
814,brgbung,bagung
815,oyia,olia
816,ipong,ipon
817,luc,lu
818,bget,baget
819,aruf,arif
820,loke,lok
821,ajiiib,ajaib
822,sins,sains
823,bebalik,bebali
824,decker,dealer
825,mmbaca,membaca
826,ggjp21,
827,kegini,kenini
828,haaa,haka
829,about,abot
830,chat,cat
831,tll,tal
832,kshiaann,
833,perangi,pelangi
834,semalem,semalam
835,ngagul,nagu
836,naaaaah,nabatah
837,ngapainlah,
838,swets,seks
839,tanyakan,tanjakan
840,anbiya,anbia
841,blink2,blanko
842,parkour,parkur
843,berduittt,berduit
844,viewnya,
845,papuanya,
846,glambir,gambir
847,obrolannya,
848,sicewe,sice
849,yaps,yais
850,ensun,edun
851,rasah,radah
852,andalucia,andalusit
853,rndahkan,rendahan
854,ainn,ain
855,gakuatt,
856,scooby,
857,komentarku,komentar
858,keknyah,kenyah
859,asumatraa,
860,western,welter
861,kresteng,kenteng
862,says,sais
863,kopeb,kopeg
864,gaess,gabas
865,googsss,
866,genjod,genjot
867,perk,pek
868,royco,rococo
869,danuarta,
870,jey,je
871,itukan,ipukan
872,kantornya,
873,yaroballalamin,
874,laiya,lauya
875,kegep,kekep
876,mabukkah,makkah
877,ayahl,ayah
878,alamx,alam
879,cb,c
880,tebak2,tebak
881,didepak,delepak
882,adhiatama,aditama
883,julukannya,
884,wadoweh,
885,koo,kio
886,gmana,gana
887,serie,sere
888,nestle,nestor
889,eluh,elu
890,kroni2,kroni
891,gaby,gaba
892,senyummya,
893,10jt,
894,rusakkkk,
895,buu7uk,blusuk
896,cwx,c
897,luhh,luah
898,mgkin,makin
899,pngikut,pengikut
900,safeaa,safa
901,jos,jas
902,nyawer,ngawur
903,muv,mu
904,urse,uas
905,mengolok,mencolok
906,tmpilkan,tampikan
907,endol,endal
908,mikey,maket
909,yama,yame
910,prenk,pek
911,sakitnya,
912,1948,
913,ditambah,diambak
914,2017,
915,beradan,berada
916,sendirilah,sendirian
917,makn,main
918,ngacak,nahak
919,xleh,xilem
920,kamuh,kambuh
921,sakali,sakai
922,masnya,maanyak
923,culung,calung
924,miho,miso
925,nyolong,nonong
926,hijrahh,hijrah
927,awal2,awal
928,pads,pada
929,unur,udur
