Label_Validator,Emoji,Count,Emoji_Asli
0,emoji_confused_face,13,emoji_confused_face
0,emoji_index_pointing_up_medium,2,emoji_index_pointing_up_medium
0,emoji_clapping_hands_light_skin_tone,2,emoji_clapping_hands_light_skin_tone
0,emoji_adhesive_bandage,3,emoji_adhesive_bandage
0,emoji_people_hugging,21,emoji_people_hugging
0,emoji_hand_with_fingers_splayed_light_skin_tone,6,emoji_hand_with_fingers_splayed_light_skin_tone
0,emoji_pink_heart,12,emoji_pink_heart
0,emoji_slightly_frowning_face,11,emoji_slightly_frowning_face
0,emoji_star_and_crescent,6,emoji_star_and_crescent
0,emoji_latin_cross,8,emoji_latin_cross
0,emoji_waving_hand,4,emoji_waving_hand
0,emoji_om,2,emoji_om
0,emoji_hand_with_index_finger_and_thumb_crossed,7,emoji_hand_with_index_finger_and_thumb_crossed
0,emoji_grey_heart,2,emoji_grey_heart
0,emoji_wing,4,emoji_wing
0,emoji_wedding,1,emoji_wedding
0,emoji_candle,2,emoji_candle
0,emoji_worried_face,4,emoji_worried_face
0,emoji_whale,2,emoji_whale
0,emoji_orange_heart,3,emoji_orange_heart
0,emoji_revolving_hearts,25,emoji_revolving_hearts
0,emoji_palms_up_together_medium_skin_tone,3,emoji_palms_up_together_medium_skin_tone
0,emoji_raised_hand_light_skin_tone,1,emoji_raised_hand_light_skin_tone
0,emoji_oncoming_fist_light_skin_tone,5,emoji_oncoming_fist_light_skin_tone
0,emoji_victory_hand_medium,3,emoji_victory_hand_medium
0,emoji_nail_polish,10,emoji_nail_polish
0,emoji_eggplant,2,emoji_eggplant
0,emoji_butter,1,emoji_butter
0,emoji_baguette_bread,1,emoji_baguette_bread
0,emoji_cheese_wedge,2,emoji_cheese_wedge
0,emoji_cup_with_straw,1,emoji_cup_with_straw
0,emoji_pile_of_poo,7,emoji_pile_of_poo
0,emoji_face_with_medical_mask,3,emoji_face_with_medical_mask
0,emoji_zipper,9,emoji_zipper
0,emoji_chair,1,emoji_chair
0,emoji_dog,1,emoji_dog
0,emoji_clapping_hands_medium,3,emoji_clapping_hands_medium
0,emoji_purple_heart,6,emoji_purple_heart
0,emoji_cat,6,emoji_cat
0,emoji_tiger_face,4,emoji_tiger_face
0,emoji_pretzel,3,emoji_pretzel
0,emoji_wheel_of_dharma,1,emoji_wheel_of_dharma
0,emoji_person_shrugging,2,emoji_person_shrugging
0,emoji_face_with_bags_under_eyes,2,emoji_face_with_bags_under_eyes
0,emoji_dog_face,6,emoji_dog_face
0,emoji_vs_button,1,emoji_vs_button
0,emoji_raised_fist_light_skin_tone,1,emoji_raised_fist_light_skin_tone
0,emoji_face_with_open_eyes_and_hand_over_mouth,13,emoji_face_with_open_eyes_and_hand_over_mouth
0,emoji_admission_tickets,1,emoji_admission_tickets
0,emoji_teacup_without_handle,2,emoji_teacup_without_handle
0,emoji_swan,3,emoji_swan
0,emoji_astonished_face,4,emoji_astonished_face
0,emoji_speaker_high_volume,2,emoji_speaker_high_volume
