komentar_id,Username,T_komentar,link
UgxhNkgfSRCtCAkJRsx4AaABAg,@RishaIqdam,"Nyesel beli leptop lokal murah baru 1 tahun lebih keyboardnya udah loncat2
-loncatan, sekarang sudah 3 tahun padahal jarang dipakai udah harus ganti keyboard karena restart terus nyala mati nyala mati restart terus gak mau stop sampai harus dilepas soket batre nya untuk mematikannya.. leptopnya Advan soulmate",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxhNkgfSRCtCAkJRsx4AaABAg.ANXTPYCopxCAPsBWkz4Zta,@bagusfajarofficial175,Udah rusak kah,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxhNkgfSRCtCAkJRsx4AaABAg.ANXTPYCopxCAQfcgIQ06Oq,@RishaIqdam,"​@bagusfajarofficial175iya rusak, kukira worth it ternyata bikin sulit",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxmbpMrKx3g_OE79Mh4AaABAg,@rizqimuharram1281,Batre nya egk ketolong cepat rusak...,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwdypKHIRMYgxit8XF4AaABAg,@masddt,"Masalah nya msh banyak bahkan hanya 2 brand ODM ya aftersales nya itu baik, gw gak mau sebut merk tp gw tau siapa aja 2 itu awkwkwkwk",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwkI3uYY-yMcuUP2GN4AaABAg,@JoniKemod-y8v,"Dln mobil.
Avanza xenia.
Livina xpander.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwhNymRVzI2bGgNq2d4AaABAg,@teguhsiswanto2885,Pembahasannya termasuk bijaksana,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugx4tZC_m5j5OoYppap4AaABAg,@rz_7890,"Selama gua beli barang brand internasional terutama laptop atau smartphone. Biasanya barang itu awet bahkan bisa 5 - 7 tahun lebih klo konteksnya diluar performa dan ga pernah gua ke service center meskipun pemakaiannya standar - sedikit intens dengan perawatan yg proper

Pertanyaannya, brand ODM bisa kaya gini ga? Klo soal service center mah wajib, tapi masalahnya kan lebih ke durability. Apalagi garansi produk2 kaya laptop / smartphone itu biasanya cuman cover 1-3 tahun doang",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgymV6oPxZfvJyQwf3l4AaABAg,@YtpremFdlsani-r2b,"Semua merk jg ODM. 
RAM merk A, SSD merk B, Speaker merk C, modul wifi merk D, processor merk E, dll. Mana ada yg bikin sendiri.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgymV6oPxZfvJyQwf3l4AaABAg.ANGmLQnabO-APnZJ2WiyI2,@26br,"​​@YtpremFdlsani-r2b Ibaratnya, yang abang sebut itu kayak komposisi dalam makanan kemasan. Saus sambal komposisinya ada air, gula, dan penguat rasa. Tapi minuman manis juga pakai beberapa komposisi yang sama persis. Terus apa saus sambel dan minuman manis itu barang yang sama? Kan nggak 😂 yang abang bilang agak gak nyambung sama arti ODM",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz3PB5lGz0Ok_pyzdR4AaABAg,@shiwildy,"Saya baru beli Axioo Hype 5 Amd X6 beberapa hari lalu
dan layarnya kek semacam ketekan jadi ada bayangan yang keliatan bangat
btw itu bkn ips bleeding yakk
kita tau lah ips bleeding cuma  di layar hitam itupun cuma pinggir merata ga tertumpuk di satu titik

saya minta ganti unit ke toko
tokonya ga mau tanggung jawab malah suruh ke servis center
sampai servis center di ganti lcd doang
dan pemasangan lcd kurang presisi alhasil kesal dong saya minta retur

skrg posisi di seller malah nyalahin gua blg ngapain di bawa ke servis center buat ganti layar
dan servis center blg
mereka gantiin  lcd gua biar customer senang

EMG LUCU BANGAT
nyesal gua beli ini brand.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz3PB5lGz0Ok_pyzdR4AaABAg.ANGJdYSZyFPANGJuymHQCu,@shiwildy,"mending beli yang dari infinix / techno
walau lbh mahal dikit tapi lebih terjamin aftersalesnya
saya sempat maren beli hp rusak lcd dan masih ada garansi saya bawa ke servis center di ganti lcdnya tanpa bayar
padahal jatuhnya kesalahan saya itu
karna jatuh.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxDLTOAoHROKdRFT7Z4AaABAg,@kazengdrum,wkwk,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwpsRI5iwTAiMxA4Op4AaABAg,@Indra.75,Ada pertanyaan kecil...laptop odm gini kira2 motherboard ya sama semua gak ya?? Kan datang dari satu pabrikan,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugwr_scOYJchrJi5hth4AaABAg,@imamkuncoro9477,"Sebagai konsumen, yang penting memenuhi kebutuhan.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugzh24TSLf6O-tNQwZV4AaABAg,@TheSutaryonoh,"Jaman dulu tahun 2000an awal smartphone windows kayak O2, dopod, Sharp pake teknik ODM, yg bikin ODM adalah HTc yg kemudian bikin merek sendiri",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwGW5KSP2qc0e0sJmd4AaABAg,@LordWildbeast,Jangan judai odm 😹,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwErDNczPoGXSneK854AaABAg,@nagayamangekyu6651,"Masalah ODM cuma aftersales? ada masalah dikualitas juga, dimana udah direspon cepet service cepet tapi dipake 2 bulan rusk lagi akhirnya waktu banyak kebuanh 🥲",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwErDNczPoGXSneK854AaABAg.AN9aB1-6IvEANHfahI7QDg,@rz_7890,"Berarti masalah utamanya ada disini. I mean, laptop cuma cover garansi 1-3 tahun, klo di rentang waktu tsb ke sc mulu ya males bgt ajg 😂",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyKLmOR4z46PBGbnjx4AaABAg,@reihanyosafat_s,Laptop Polytron apakah ODM juga?,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugw2qMpShAE4UrUsD6V4AaABAg,@frizalrsw,"Asal siap terima resikonya, ga masalah beli laptop ODM. Gak usah sampe bikin konten marah2 dan ngata-ngatain orang yang beli laptop ODM",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugw2qMpShAE4UrUsD6V4AaABAg.AN6rlD7rCCxAN8V_9QET-_,@kukuhpambudi7185,resikonya beli odm apa bang? jujur gue tertarik beli laptop yamg harga lumayan spek cukup mumpuni,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugw2qMpShAE4UrUsD6V4AaABAg.AN6rlD7rCCxAN9J_Fx5fIK,@frizalrsw,"​@kukuhpambudi7185Salah satu resikonya susah cari sparepartnya. Aftersalesnya juga belum sebaik brand laptop ternama. Build quality laptopnya juga kurang solid. Saya juga pake laptop odm, selagi makainya gak brutal sih bakal awet.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugw2qMpShAE4UrUsD6V4AaABAg.AN6rlD7rCCxAPI0qRB1PlJ,@IslamistSocialist371,​@kukuhpambudi7185kualitas Gacha dan susah nyari part laptopnya,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyzbNi_Ce22EkKjO9R4AaABAg,@detroit7543,"Yg membuat Males beli produk lokal itu cuma 1

Gatau kenapa lebih gampang rusak dan SULIT BANGET claim After Sales Servicenya

Dan bener, brand2 ini2 lagi yang kena

Advan
Acer
Zyrex
Axioo
SPC

Mau dukung pasar produk nasional tapi ga awet
😅",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyzbNi_Ce22EkKjO9R4AaABAg.AN6T6wnEtYmAPhWzMi1wVj,@Gorestzka,Acer odm?,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyzbNi_Ce22EkKjO9R4AaABAg.AN6T6wnEtYmAQFhoPvKxyk,@detroit7543,"​@GorestzkaNgga sih, tapi pengalaman pakai dari teman2 sama aja gampang rusaknya dan susah banget after sales servicenya",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgyzbNi_Ce22EkKjO9R4AaABAg.AN6T6wnEtYmAQKTrab8Z82,@anababb,@detroit7543 Acer odm kok yg seri gaming sama berberapa,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxxjEUldIIB8tLErZB4AaABAg,@toherful,"Berarti akal2an produk anak bangsa, cuma masang logo",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz0iIusII3L5-NIGxF4AaABAg,@yaser8310,"Mirip Avanza Xenia, Terios Rush dll.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugz-mHwL2QPMkL20-ux4AaABAg,@chocomik592,"Polytron ODM juga berarti ya? 
Sayang banget rada mahall",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgwP09M-e0uJZB4pY3V4AaABAg,@juveviper4682,"Gak Maslah lokal, hardware tetep bukan lokal jg koq.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxQaByUcmTsOj3x4Cd4AaABAg,@Lanternguy95,"Yah buat yg budget nya minim ODM g masalah slama garansi and service ny g jelimet, tpi klo ad budget lebih y better beli macbook aja klo buat kerja and simpen data pribadi, klo mw gaming skalian aja pc gaming, soal nya g nutup kemungkinan ODM pake bbrp part refurbished kya SSD, CPU, GPU and RAM, so be a wise buyer, tpi y smua kembali k isi dompet

Btw gw ngomong buat org org awam yak, klo lu tech geek yg bsa buat mini server d rumah sndiri mah beda cerita 😂",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugxk3pJJElgQ5z6iOs54AaABAg,@SoccerKardus,"advan yang pake i3-1220P gokil sih, RAM bisa di upgrade pula, walah cukup banget gua pake kerja, Excel dengan puluhan kolom dan dan puluhan ribu baris, lancar jaya!",https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgxvS2s6YuKqriEaR8p4AaABAg,@LYN_CHANEL,Yang penting sparepart aman nyarinya sih. Gw kira tetap worth,https://www.youtube.com/watch?v=DPqvYfF5R6Q
UgzBqTmLqnWrNb1479J4AaABAg,@appaan,"'after sale tidak bisa di pertanggung jawabkan'

pertanyaannya brand lokal emang aftersalenya bagus? 

sudah bertahun tahun brand lokal hidup tapi scnya kalah sama brand asing. bahkan produk china yang baru kemaren sore, dalam waktu 5-7bulan scnya sudah menyebar di beberapa kota di indonesia. 

brand indo hanya menjual brand saja dan jual kalimat 'cintai produk lokal' tapi faktanya mereka hanya import langsung dari negara lain.

lebih salut dan lebih bermartabat brand asing yang membuka perakitan dan rnd di indonesia ketimbang brand lokal yang hanya mau uang saja. bahkan beberapa brand international melakukan pembiayaan pendidikan buat sdm sdm berkualitas di indonesia.

jadi dari sini sudah terlihatkan siapa yang lebih cinta indonesia? ya brand brand inter itu. kalau brand lokal malah gak cinta sama sekali dan hanya jualan brand.",https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugxo5xZHqicgak4LXkF4AaABAg,@noicyywas,Salfok sama Hoshino Ai,https://www.youtube.com/watch?v=DPqvYfF5R6Q
Ugxo5xZHqicgak4LXkF4AaABAg.AMxRXn_8lCIAOAMzm4Yunp,@acilpaket,Menit brp,https://www.youtube.com/watch?v=DPqvYfF5R6Q
